Id,SalePrice
1461,135215.53100910422
1462,170879.83097539542
1463,200157.44448149746
1464,211166.42096767935
1465,202992.8401823127
1466,182376.99900242942
1467,192392.16547561417
1468,174601.03139788314
1469,201945.9795797986
1470,133187.30680409833
1471,198801.66071428987
1472,107931.54165405266
1473,107468.83458082499
1474,156491.54041268304
1475,123210.3023145934
1476,372167.1960356545
1477,262779.48725129664
1478,292810.645738184
1479,274274.34138174995
1480,513944.42885537987
1481,337342.89768435434
1482,224072.24464789638
1483,187043.2653563182
1484,171818.807881137
1485,195444.69227680375
1486,209844.2259407252
1487,341145.48517087067
1488,249660.88396300137
1489,213332.04266235762
1490,244742.70178047626
1491,207852.41085767467
1492,108351.3042113988
1493,201538.02069027533
1494,309687.0210618877
1495,302985.1535323335
1496,248099.27538806057
1497,195991.1575152864
1498,174823.61764892412
1499,170376.1962370753
1500,164463.29616426898
1501,188882.0585965941
1502,151664.77034698197
1503,306801.48887891625
1504,254619.23443710123
1505,239186.66004000846
1506,200362.92962816547
1507,267247.29993693985
1508,212863.11789277097
1509,172016.38770184095
1510,157638.34702174593
1511,159553.30589737586
1512,184582.1010729715
1513,158467.64553470095
1514,176546.267499368
1515,215931.78940196292
1516,163258.01060845077
1517,180007.305833806
1518,142211.60197651442
1519,233773.8824226961
1520,142346.84329728057
1521,144925.8530364187
1522,185741.24749710498
1523,125888.71061013517
1524,138029.1831991108
1525,131377.10875451803
1526,124775.89571908257
1527,118565.42483014942
1528,149067.50066877907
1529,164984.10501613855
1530,196925.14534087921
1531,114829.23647427076
1532,110238.8878823657
1533,160804.23865310298
1534,134162.68336444258
1535,162347.19305388757
1536,119490.28349962294
1537,73566.54995422436
1538,169676.61534305508
1539,209909.69008786557
1540,104327.75221447815
1541,159191.55885712997
1542,156241.3108510681
1543,217301.4438775946
1544,99514.37502225203
1545,123432.90628024995
1546,145816.53129618987
1547,152576.09875626845
1548,154009.2060723352
1549,130945.82928721215
1550,150521.91722113529
1551,122883.7956469058
1552,148852.8683286786
1553,164379.02317975432
1554,126599.90041448857
1555,173209.90689855767
1556,97482.70253920468
1557,119640.24857573536
1558,111710.57744515379
1559,73884.29328212078
1560,139721.70529018893
1561,145925.3701129038
1562,142490.003951553
1563,132890.40044891337
1564,164481.4640611909
1565,157788.0389009242
1566,253756.02777473067
1567,88869.16896245356
1568,245048.7179577623
1569,145455.68171082376
1570,145190.1142435885
1571,128620.78904583928
1572,158573.8882236286
1573,257530.94742496408
1574,128149.06975478175
1575,245170.13092682592
1576,260639.82315752533
1577,202771.1459909606
1578,155681.33258439405
1579,155877.039649191
1580,206091.32028400755
1581,165792.4185516337
1582,138222.93163566227
1583,324771.127269914
1584,239170.1591352526
1585,146824.60955193613
1586,85480.42304879613
1587,110024.2106822647
1588,163306.81356388418
1589,113485.01219405347
1590,143766.67727466917
1591,105463.94830100388
1592,130210.28851647259
1593,137450.41890289998
1594,157573.1069858103
1595,120804.57161769483
1596,242064.0657062264
1597,207227.8871885438
1598,229617.5533224731
1599,177391.42558168393
1600,173321.301763424
1601,77330.01056117778
1602,128134.34090316789
1603,82279.95071986628
1604,279688.3978165248
1605,255477.85306056796
1606,176855.75714109314
1607,184512.8983400656
1608,227017.03971103585
1609,202164.19918457716
1610,166098.7454929359
1611,147884.6367870927
1612,177712.17739789418
1613,176084.22759712202
1614,136584.52768367724
1615,100310.02918341497
1616,85460.61856169482
1617,103140.74456208455
1618,136275.28231884562
1619,153086.19616617388
1620,173030.37191403308
1621,146253.1785322342
1622,150269.30567096733
1623,282017.0328453704
1624,224896.28863718832
1625,130920.36840511816
1626,176727.21113834128
1627,205319.0494605456
1628,298670.1438700007
1629,192140.12640385312
1630,365504.996018557
1631,234919.5464113635
1632,254548.13050789596
1633,179309.1435232135
1634,201022.90644683663
1635,184225.39175452717
1636,163857.63168176747
1637,217175.61383948912
1638,201964.58678187025
1639,196063.80825556643
1640,278025.7312531587
1641,187221.3247446232
1642,250390.3974729196
1643,237286.35124439507
1644,248909.06359050045
1645,209274.22735740207
1646,169855.73996072018
1647,165892.7605938417
1648,142551.36518023504
1649,151160.65706968209
1650,127465.9187132534
1651,131633.44373094858
1652,109050.15092465506
1653,111974.99359041528
1654,155691.16741204
1655,149954.72879074683
1656,153853.9468881722
1657,161447.25056777787
1658,153981.4701057281
1659,133674.91755652643
1660,165793.7162676693
1661,475514.196634448
1662,425716.1543332807
1663,391064.16283362836
1664,525393.5066398922
1665,320330.01716910786
1666,335568.41893764265
1667,397119.8997390112
1668,343432.4785862505
1669,307425.27467165753
1670,347643.2164649683
1671,268397.99540520133
1672,452952.50482049794
1673,312011.66579615185
1674,260511.52568745217
1675,204602.40691704763
1676,204581.38317793957
1677,239609.9269231275
1678,497132.4808037728
1679,404302.27378442127
1680,345687.45495884377
1681,257732.13292654997
1682,320986.1084784011
1683,192099.43482054843
1684,186702.54011974006
1685,181348.3513409623
1686,176125.6954414954
1687,179281.77758774196
1688,205476.75562180585
1689,211258.7925448009
1690,207530.4258416654
1691,195406.4813670952
1692,275746.848344857
1693,180803.0545043926
1694,195885.66142737953
1695,176116.43689457467
1696,291195.1279905468
1697,180551.78497694462
1698,373611.558655214
1699,322131.95889676653
1700,259983.49643812474
1701,283675.07347475394
1702,266445.73531779763
1703,265570.093193004
1704,293927.7714241206
1705,244656.22186854764
1706,453643.48543214134
1707,228880.8403954758
1708,220043.05383220155
1709,283787.82930019195
1710,237748.99471584707
1711,283182.5680133815
1712,265479.8033184911
1713,292845.9627870745
1714,237754.18658276307
1715,218732.68402721587
1716,199656.92998617468
1717,185164.07898392467
1718,145349.50682452862
1719,223907.76112354617
1720,256543.6123175958
1721,177908.15893279307
1722,137553.38796555827
1723,169437.75211791456
1724,224224.17668589932
1725,253266.5257666036
1726,197732.29080776597
1727,168573.45373848456
1728,185586.59595024766
1729,176993.14536558112
1730,169688.78350155114
1731,133689.35912954566
1732,140661.72335007373
1733,128386.28273199276
1734,135466.99873895544
